id,user_id,extended_tweet_full_text,extended_tweet_full_text_duplicate,final
1.3047857422127347e+18,7.501593852304753e+17,in this time of pandemic paano ka magpanic for midterms,"In this time of pandemic, paano ka magpanic for midterms? https://t.co/QXODoAfCAh",time pandemic paano ka magpanic midterm
1.3047857426826158e+18,1.301065583845421e+18,were in the middle of a pandemic,@RepsForBiden we're in the middle of a pandemic,middle pandemic
1.3047857427077325e+18,30450323.0,it’s not written someone i know told me that he’s currently working on a vaccine,@hug3m3 @MrGee54 It’s not written. Someone I know told me that. He’s currently working on a vaccine.,’ write someone know told ’ currently work vaccine
1.3047857422211932e+18,319088427.0,happy saturday dear michael i wish you a wonderful relaxing fun weekend and beautiful weather too🌞 hope you enjoy some socialdistancing on the water again love your beautiful pic take good care stay safe❤🙏 lots of love hugs and respect to you always from uk💞,"@mbsings Happy Saturday dear Michael, I wish you a wonderful, relaxing, fun weekend and beautiful weather too🌞 Hope you enjoy some #SocialDistancing on the water again. Love your beautiful pic! Take good care, stay safe❤🙏 Lots of love, hugs and respect to you always, from UK💞 https://t.co/sw2ForendP",happy saturday dear michael wish wonderful relax fun weekend beautiful weather too🌞 hope enjoy socialdistancing water love beautiful pic take good care stay safe❤🙏 lot love hug respect always uk💞
1.3047857426488484e+18,7.856037347178945e+17,so if i live in on a farm in the middle iowa i have to wear a mask no that’s why it was left to state jurisdiction he sent medical ships on both coast never used the democratic governors killed more people by killing grandma,"@woeif5 @pyrok94 @GeraldoRivera @realDonaldTrump So if I live in on a farm in the middle Iowa I have to wear a mask? No. That’s why it was left to state jurisdiction. He sent medical ships on both coast, never used. The democratic governors killed more people by killing grandma. https://t.co/uhBmsuYqf0",live farm middle iowa wear mask ’ left state jurisdiction sent medical ship coast never use democratic governor kill people kill grandma
1.304785743223685e+18,4412846955.0,lol yea ok buddy “political” divide is an illusion for the people to consume perpetrated by the oligarchy however  covid1984 still has a 998 chance of survival and only 6 of deaths according cdc didn’t have a major disease already sounds perfidious to me,"@aidenrodolfo @YourAcc54783700 @govkristinoem Lol. Yea ok buddy “political” divide is an illusion for the people to consume perpetrated by the oligarchy. However,  COVID-1984 still has a 99.8% chance of survival, and only 6% of deaths, according CDC, didn’t have a major disease already. Sounds perfidious to me.",lol yea ok buddy “ political ” divide illusion people consume perpetrate oligarchy however covid1984 still 998 chance survival 6 death accord cdc ’ major disease already sound perfidious
1.3047857435759985e+18,1.2591200776239636e+18,us expelled thousands of migrant children due to coronavirus rules,"US expelled thousands of migrant children due to coronavirus rules
https://t.co/SOKFyHD762",u expel thousand migrant child due coronavirus rule
1.304785743680811e+18,803200170.0,i just finished watching lockdown tvtime,I just finished watching Lockdown! #tvtime https://t.co/BZPyAKXljk https://t.co/09BI20XNWn,finish watch lockdown tvtime
1.3047857445868462e+18,1.0435010160361226e+18,there definitely is or why is he reluctant to walk away this law hes begging parliament to vote for is just a distraction from his handling of the covid crisis,@VMaledew @GrahamH03219177 There definitely is or why is he reluctant to walk away. This law he's begging parliament to vote for is just a distraction from his handling of the COVID crisis.,definitely reluctant walk away law he beg parliament vote distraction handle covid crisis
1.3047857439366636e+18,15464216.0,thank you  for teaching kids to wear masks and social distance and practice proper hygiene 💛 cnn covid covid19 sesamestreet bigbird,Thank you @CNN for teaching kids to wear masks and social distance and practice proper hygiene! 💛 #cnn #covid #covid19 #sesamestreet #bigbird https://t.co/beIIHnJoi0,thank teach kid wear mask social distance practice proper hygiene 💛 cnn covid covid19 sesamestreet bigbird
1.3047857449769247e+18,8.291147150538835e+17,lily james says exercise helped her amid lockdown,https://t.co/NfYqxxVjwD -   Lily James says exercise helped her amid lockdown  https://t.co/RPa2aZxsro,lily james say exercise help amid lockdown
1.3047857450272358e+18,9.83026663742206e+17,i bet you wear a mask when you are in the car by yourself and when you are at home by yourself get out of your bubble  live your life we are here only as long as god says it’s over you don’t have time to waste you never know when you won’t be here anymore,@blondygirl1 I bet you wear a mask when you are in the car by yourself and when you are at home by yourself. Get out of your bubble @AdamKohn6. Live your life! We are here only as long as God says it’s over. You don’t have time to waste. You never know when you won’t be here anymore.,bet wear mask car home get bubble live life long god say ’ ’ time waste never know ’ anymore
1.3047857452033352e+18,886055990.0,almost all on offenseright not covid 19 at all,@CMAnderson247 @247Sports Almost all on offense....right. Not COVID 19 at all.,almost offenseright covid 19
1.3047857456479396e+18,9.120640876763832e+17,i wouldn’t touch that vaccine unless you are want to suffer and die,@Russell23320359 I wouldn’t touch that vaccine unless you are want to suffer and die.,’ touch vaccine unless want suffer die
1.3047857458535178e+18,8.537786164586373e+17,perspective  the us has lost the equivalent of the entire population  of winston salem nc to covid let that sink in,Perspective:  the US has lost the equivalent of the entire population  of Winston Salem NC to COVID. Let that sink in.,perspective u lose equivalent entire population winston salem nc covid let sink
1.3047857468853327e+18,2262010626.0,this is pelosi and others inviting people to china town and down playing the virus after the travel ban,"https://t.co/eqhxBOMMnn
THIS IS PELOSI AND OTHERS INVITING PEOPLE TO CHINA TOWN AND DOWN PLAYING THE VIRUS AFTER THE TRAVEL BAN.",pelosi others invite people china town play virus travel ban
1.304785746977583e+18,2492089178.0,so he could placate his antivaxxerpro herd immunity base,@kylegriffin1 So he could placate his anti-vaxxer/pro herd immunity base...,could placate antivaxxerpro herd immunity base
1.3047857472836403e+18,8.779310631584727e+17,as per odisha govtorder covid19 test cost can not be more than rs1200 but today i did the test today at the cost of rs1600 at amri hospitalbbsr why they are charging violating govt order,"@HFWOdisha As per Odisha govt.order covid-19 test cost can not be more than Rs.1200, but today I did the test today at the cost of Rs.1600 at Amri hospital,bbsr. Why they are charging violating govt order.",per odisha govtorder covid19 test cost rs1200 today test today cost rs1600 amri hospitalbbsr charge violate govt order
1.3047857472878671e+18,1415684970.0,i really hope y’all are taking care of your skin while wearing these masks  also i hope y’all still wearing masks,I really hope y’all are taking care of your skin while wearing these masks - also I hope y’all still wearing masks,really hope ’ take care skin wear mask also hope ’ still wear mask
1.3047857472040796e+18,1362778027.0,goodmorning have a great one and stayhealthy,@grounder761 Goodmorning! Have a great one and #StayHealthy,goodmorning great one stayhealthy
1.3047857474473492e+18,3047925973.0,america is trapped in a pandemic spiral as the us heads toward the winter the country is going round in circles making the same conceptual errors that have plagued it since spring,"America Is Trapped in a Pandemic Spiral. As the U.S. heads toward the winter, the country is going round in circles, making the same conceptual errors that have plagued it since spring. @clayforsberg @sethmhardy @FriedbergEric @Zindoctor @nkagetsu @DrEricB
https://t.co/w8i6IEWHkh",america trap pandemic spiral u head toward winter country go round circle make conceptual error plague since spring
1.3047857481855672e+18,76830830.0,literally weeks we’re already having cooler temps where i am dipping into the 50s at night everyone’s going to be indoors very very soon and covid cases are already creeping up since school opened,"@karencollinsnyc @priteshgandhimd Literally weeks. We’re already having cooler temps where I am, dipping into the 50s at night. Everyone’s going to be indoors very, very soon. And COVID cases are already creeping up since school opened",literally week ’ already cooler temp dip 50 night everyone ’ go indoors soon covid case already creep since school open
