id,user_id,extended_tweet_full_text,extended_tweet_full_text_duplicate,final
1.3047857053616456e+18,1.10880549958631e+18,people on the team are definitely testing positive did you read fuentes comments earlier in the week about not being sure about fielding a competitive team if they had to play this weekend,@Ruebush77 @LazeVT People on the team are definitely testing positive did you read Fuente's comments earlier in the week about not being sure about fielding a competitive team if they had to play this weekend?,people the team definitely test positive read fuentes comment earlier the week sure fielding competitive team to play weekend
1.3047857060914135e+18,250657215.0,are you in the covid19 study already get in line behind donald duck trump,@mjd1735 @KizzyPhD Are you in the COVID-19 study already? GET IN LINE BEHIND DONALD DUCK TRUMP.,the covid19 study already get line behind donald duck trump
1.3047857064815944e+18,1173139700.0,they are already past their 2nd negative covid test i feel so bad for those students that have been criminalized by a frightened administration,@Tim_Bousquet They are already past their 2nd negative covid test. I feel so bad for those students that have been criminalized by a frightened administration.,already past 2nd negative covid test feel bad student criminalize frighten administration
1.3047857067289843e+18,107364963.0,covid,@LucienBrochet Covid,covid
1.3047857070184527e+18,8.891637789438401e+17,navajo nation reeling from coronavirus focuses attention on elections,"Navajo Nation, reeling from coronavirus, focuses attention on elections
https://t.co/9fFJSDLMh4",navajo nation reel from coronavirus focus attention election
1.3047857071400264e+18,1.2708207989499208e+18,i miss my mf bestfriends  bts ima see u soon don’t worry i’m coming ima fight corona so i can see u i’ll find a cure,i miss my mf bestfriends )): bts ima see u soon don’t worry i’m coming ima fight corona so i can see u i’ll find a cure,miss mf bestfriends bts ima see u soon  worry  come ima fight corona see u  find cure
1.3047857076727644e+18,42007513.0,lockdown day 173  see my new daily photo on blipfoto,"""Lockdown Day 173"" https://t.co/MdPkYSfNo2  See my new daily photo on #blipfoto",lockdown day 173 see new daily photo blipfoto
1.3047857079286088e+18,1.0204473960174592e+18,seems to me that every politician is looking out for themselves right now he said she said is absolutely ridiculous trump moved swiftly on the pandemic let’s face it after everything he went through during his term i would have thought covid19 was a hoax also,"@SenWarren Seems to me that every politician is looking out for themselves right NOW!. He said she said is absolutely ridiculous. Trump moved swiftly on the pandemic!, let’s face it. After everything he went through during his term, I would have thought Covid-19 was a hoax also.",seem to every politician look out right say say absolutely ridiculous trump move swiftly the pandemic let  face everything go term would thought covid19 hoax also
1.3047857098244383e+18,1.2577498742605414e+18,who knows more about crooks than the trumpcrimefamily  trumpisaloser  trumpvirus  trumpkillsamericans,"@DonaldJTrumpJr Who knows more about crooks than the #TrumpCrimeFamily?

#TrumpIsALoser 
#TrumpVirus 
#TrumpkillsAmericans",know crook the trumpcrimefamily trumpisaloser trumpvirus trumpkillsamericans
1.3047857098160497e+18,380725931.0,masked  darkness falls pandemic pontifications by ron foster via  prepper,MASKED ! DARKNESS FALLS...: Pandemic Pontifications by Ron Foster https://t.co/TcC9pBbXAM via @amazon #prepper,masked darkness fall pandemic pontifications ron foster via prepper
1.3047857105079828e+18,1.1949450991357335e+18,i know it’s like woodward sitting on president trumps playing down the china virus for six months,"@honorgoesfar @catturd2 I know, it’s like Woodward sitting on President Trumps playing down the China virus for six months.",know  like woodward sit president trump play the china virus six month
1.304785710017323e+18,81854233.0,an amesbury woman has been named a lockdown hero and is to have great western train named after her  37,"An Amesbury woman has been named a 'lockdown hero' and is to have Great Western train named after her.  (3/7)

https://t.co/0DfefSi8p8 https://t.co/wzWAPCx5E7",amesbury woman name lockdown hero to great western train name 37
1.3047857111833395e+18,223689142.0,when sars hit and they told everyone what to do and not do did you see panic no you didnt so why do you think it would have been any different with covid19 just use you head and stop spreading lies and conspiracy theories,@StateSheep @StephenKing When SAR's hit and they told everyone what to do and not do did you see panic. NO YOU DIDN'T so why do you think it would have been any different with COVID-19 just use you head and stop spreading lie's and conspiracy theories,sars hit told everyone to do do see panic no didnt do think would different covid19 use head stop spread lie conspiracy theory
1.304785711598428e+18,1.2729794187265352e+18,sir my ticket is booked for spicejet flight tomm and unfortunately my society in pune is marked under covid containment zone also there is  janta curfew in the area i tried to reach out to airlines for cancellation and refund but havent got any responsepls help,@HardeepSPuri @narendramodi @PMOIndia @RanchiPIB @BJP4Jharkhand @MoCA_GoI @AAI_Official @LabourMinistry @PIB_India @MIB_India @nishikant_dubey @HardeepSPuri sir my ticket is booked for spicejet flight tomm and unfortunately my society in pune is marked under covid containment zone .Also there is  Janta curfew in the area .I tried to reach out to airlines for cancellation and refund but havent got any response.pls help.,sir ticket book spicejet flight tomm unfortunately society pune marked covid containment zone also janta curfew the area try to reach out to airline cancellation refund havent get responsepls help
1.3047857123660677e+18,8.269211770209034e+17,never forget trump lied to americans to keep them maskless during a pandemic that has now killed over 190000 of us    never forget trump called our brave soldiers losers and suckers   never forget,"@charliekirk11 Never forget Trump lied to Americans to keep them maskless during a pandemic that has now killed over 190,000 of us.  

Never forget Trump called our brave soldiers losers and suckers. 

Never forget.",never forget trump lie to american to keep maskless pandemic kill 190000 u never forget trump call brave soldier loser sucker never forget
1.3047857129953567e+18,1.2910744607920947e+18,no by the time the vaccine is here covid will be gone already going away in other countries,"@TomFitton No, By the time the vaccine is here Covid will be gone. Already going away in other countries.",no the time the vaccine covid go already go away country
1.3047857132511887e+18,1.189631890875179e+18,watch what happened at 410 in s broadcast war room pandemic ep 383 amp 384  download the americasvoicenews app android  and apple,"@Flowers2245 Watch what happened at 4:10 in @AVoiceNews's broadcast: War Room Pandemic Ep 383 &amp; 384.  Download the #AmericasVoiceNews app Android https://t.co/0EGzL3CcY4  and Apple https://t.co/GxPPS1NyOA

https://t.co/fRcd5oDkpu",watch happen at 410 broadcast war room pandemic ep 383 amp 384 download the americasvoicenews app android apple
1.3047857136328704e+18,1347621823.0,dear sir whats going to take for you to make it mandatory to wear masks in this state more deaths do your job or get out doyourjob  stopkillingus  wewillvoteyouout,"@GovHolcomb 
Dear Sir,
What's going to take for you to make it mandatory to wear masks in this state? More deaths? Do your job or get out.
#DoYourJob 
#StopKillingUs 
#wewillvoteyouout",dear sir whats go to take to make mandatory to wear mask state death do your job get out doyourjob stopkillingus wewillvoteyouout
1.3047857144423667e+18,30048025.0,democrats block senate republican coronavirus aid bill via,Democrats Block Senate Republican Coronavirus Aid Bill https://t.co/EQgCpJXSDg via @BreitbartNews,democrat block senate republican coronavirus aid bill via
1.3047857178521723e+18,1.1087317620105256e+18,trump known it airborne and call no mask up until the recordinggather large group to make it spreadwhen ask true info that would get people killed he sayed maybe we are not suredown played the death rate that abuse of public trust and mass murder your party put us in this,"@GOPLeader Trump known it airborne and call no mask up until the recording.gather large group to make it spread.when ask true info that would get people killed he sayed ""maybe we are not sure.""down played the death rate. that abuse of public trust and mass murder. your party put us in this.",trump know airborne call no mask the recordinggather large group to make spreadwhen ask true info would get people kill sayed maybe suredown played the death rate abuse public trust mass murder your party put u
1.304785717491634e+18,4231833855.0,recommended read  whats more the coronavirus is sweeping across england and the uk seems certain to enter a period of lockdown if the transition to adulthood isnt difficult enough,"Recommended read - What's more, the coronavirus is sweeping across England and the UK seems certain to enter a period of lockdown. If the transition to adulthood isn't difficult enough. @HoraceCornflake https://t.co/0yu7Fa6Knm https://t.co/9D1PVOCI2W",recommend read whats the coronavirus sweep across england the uk seem certain to enter period lockdown the transition to adulthood isnt difficult enough
1.304785717948756e+18,2383882980.0,hey look irelands health authority hse are immunity deniers too thats what the fauci of switzerland the emeritus professor of immunology beda vaccine pope stadler would call these govt workers interview with prof stadler in first reply below,"Hey look! Ireland's Health Authority (HSE) are ""Immunity Deniers"" too!
That's what the ""Fauci of Switzerland"", the Emeritus Professor of Immunology Beda ""Vaccine Pope"" Stadler would call these govt workers
(interview with Prof Stadler in first reply below)
https://t.co/ZJRW46VZa8",hey look ireland health authority hse immunity denier thats the fauci switzerland the emeritus professor immunology beda vaccine pope stadler would call govt worker interview prof stadler first reply
1.3047857182759035e+18,1.2942889911943537e+18,james looking like the dweebiest person imaginable and raising some other mans kid must base his claims to masculinity on such tenuous stuff as not wearing a mask and eat meat so hard,@JamesDelingpole James looking like the dweebiest person imaginable and raising some other man's kid must base his claims to masculinity on such tenuous stuff as not wearing a mask and eat meat (so hard!),james look like the dweebiest person imaginable raise man kid must base claim to masculinity tenuous stuff wear mask eat meat hard
1.3047857184982753e+18,1.296229131915493e+18,truthfully i took it out earlier in quarantine but i’m considering getting it pierced for a third time next year because  my vanity outweighs the inevitable pain of piercing through scar tissue again,truthfully I took it out earlier in quarantine but I’m considering getting it pierced for a third time next year because ??? my vanity outweighs the inevitable pain of piercing through scar tissue AGAIN,truthfully take out earlier quarantine  consider get pierce third time next year vanity outweighs the inevitable pain pierce scar tissue
1.3047857198614323e+18,1.0221847544001167e+18,réinfection asymptomatique maybe it’s the tests,@LussiD Réinfection..... asymptomatique. Maybe it’s the tests? https://t.co/FOWWud7fFF,réinfection asymptomatique maybe  the test
1.304785720826106e+18,1.239237935230333e+18,scientists find pandemicflu collision doubles covid19 transmission via,Scientists find pandemic-flu collision doubles Covid-19 transmission https://t.co/CD2z19Fl8T via @scmpnews,scientist find pandemicflu collision double covid19 transmission via
1.3047857223737958e+18,1.0377988709635032e+18,i think that someone should be interviewing the families that lost family members due to the covid19 on tv,@NBCNews I think that someone should be interviewing the families that lost family members due to the COVID-19 on TV,think someone interview the family lose family member due to the covid19 tv
1.3047857218830868e+18,142659861.0,covid bonus 60 kite surfers at jury’s gap,Covid bonus. 60 kite surfers at Jury’s Gap. https://t.co/kQOloXcHQI,covid bonus 60 kite surfer at jury  gap
1.3047857230446715e+18,9.623600898176369e+17,thank you  for a brilliant webinar on how the pandemic is straining gender dynamics in indian science covidisation science women ecrs dropping out amp gendergap in publications great to hear perspectives fromwomen in science   and others,"Thank you @labhopping for a brilliant webinar on how the pandemic is straining gender dynamics in Indian science, ""covidisation"" science, women ECRs dropping out, &amp; gendergap in publications! Great to hear perspectives from⭐women in science @GKangInd @KrutikaKuppalli and others!",thank brilliant webinar the pandemic strain gender dynamic indian science covidisation science woman ecrs drop out amp gendergap publication great to hear perspective fromwomen science others
1.304785722843439e+18,1.1053655643885937e+18,repentance amp pleasing me is your best protection follow the hygiene m  love letter from jesus  video link   via   yahushua jesuschrist jesus christ lord god coronavirus covid19 protection repentance,"REPENTANCE &amp; PLEASING ME IS YOUR BEST PROTECTION... FOLLOW THE HYGIENE M.. ❤️ Love Letter from Jesus

Video Link: 
https://t.co/YTFFWSTZfy via @YouTube

#YAHUSHUA #JESUSCHRIST #JESUS #CHRIST #LORD #GOD #Coronavirus #Covid19 #Protection #Repentance https://t.co/7JGQBbB57z",repentance amp please your best protection follow the hygiene love letter from jesus video link via yahushua jesuschrist jesus christ lord god coronavirus covid19 protection repentance
1.3047857228100037e+18,1.3015296323956654e+18,how could  covid19 be a punishment from god when the whole concept is a lie itself  my father in heaven dose not send confusion into thats the doing if  the devils work  the world eu took this  virus and ran with it,"@CNN How could  covid-19 be a punishment from god when the whole concept is a lie itself,  my father in Heaven dose not send confusion into ThAts the doing if  the devils work , the world (E.U. took this  virus and ran with it ,",could covid19 punishment from god the whole concept lie father heaven dose send confusion thats the the devil work the world eu take virus ran
1.3047857236654776e+18,1.2440854383457075e+18,you have top secret info about our nuke program to a journalist u put this country in danger u were bragging about it u should be removed from office for this u lied about covid as well republicansagainsttrump liarinchief bidenharrislandslide2020,@realDonaldTrump You have top secret info about our nuke program to a journalist.! U put this country in danger. U were bragging about it. U should be removed from office for this. U lied about COVID as well. #RepublicansAgainstTrump #LiarInChief #BidenHarrisLandslide2020,top secret info nuke program to journalist u put country danger u bragging u remove from office u lie covid well republicansagainsttrump liarinchief bidenharrislandslide2020
1.3047857240599306e+18,10141422.0,photos video hong kong disneyland resort celebrates 15th anniversary despite ongoing closure,"PHOTOS, VIDEO: Hong Kong Disneyland Resort Celebrates 15th Anniversary Despite Ongoing Closure

https://t.co/khBZOU1Yc6 https://t.co/OhPVsBhKC1",photo video hong kong disneyland resort celebrates 15th anniversary despite ongoing closure
1.304785725439738e+18,1.240384274337063e+18,the latest discovercovid discovered by    covid19 breaking,The Latest DiscoverCovid https://t.co/U4zjpfwcfe Discovered by @ramy_khalil20 @Ameliavega98 @RKMittal9 #covid19 #breaking,the late discovercovid discover covid19 break
1.304785725481681e+18,4084926508.0,this current pandemic of fear has revealed that humanity’s futile trust in self is built on a crumbling foundation,This current pandemic of fear has revealed that humanity’s futile trust in self is built on a crumbling foundation.,current pandemic fear reveal humanity  futile trust self built crumble foundation
1.304785725699715e+18,8.866454204026716e+17,thinking about it again surviving covid isnt really the biggest issue 95 chance to recover i believe its the stigma youll get afterward of recovering people wont stop making fun of you and your family and call you covid guy really is a shame,"Thinking about it again, surviving covid isn't really the biggest issue (95% chance to recover I believe). It's the stigma you'll get afterward of recovering. People won't stop making fun of you and your family and call you ""Covid guy"". Really is a shame",think survive covid isnt really the big issue 95 chance to recover believe the stigma youll get afterward recover people wont stop make fun your family call covid guy really shame
1.3047857247645737e+18,8774352.0,six months into quarantine,Six months into quarantine https://t.co/MwM7DdAEAS,six month quarantine
1.3047857260857508e+18,1494313802.0,please be kind to teachers in the next few weeks  teacher teacherlife remotelearning covid,"Please be kind to teachers in the next few weeks.

#teacher #teacherlife #remotelearning #COVID https://t.co/nntjnHi8ND",please kind to teacher the next week teacher teacherlife remotelearning covid
1.304785727142744e+18,825155665.0,the data generated so far are mostly individual case studies and lowpowered studies with small numbers of patients large clinical trials are needed for therapies to be generally approved ill link some openaccess scientific papers in subsequent tweets,"@HardMoneyCowboy @SteveSkojec @MarkBra32931299 @SpencerCasey13 The data generated so far are mostly individual case studies and low-powered studies with small numbers of patients. Large, clinical trials are needed for therapies to be generally approved. I'll link some open-access scientific papers in subsequent tweets.",the data generate far mostly individual case study lowpowered study small number patient large clinical trial need therapy to generally approve ill link openaccess scientific paper subsequent tweet
1.304785727821996e+18,1.2816792246471025e+18,a country with zero resources has 2324000 total deaths due to covid19 while america with every resource known to man has over 190000 deaths for the same disease and in the same period of time how come,"@Reuters A country with Zero resources has 23/24,000 total deaths due to Covid-19, while America, with every resource known to man, has over 190,000 death's for the same disease and in the same period of time..! How come!? 🤔",country zero resource 2324000 total death due to covid19 america every resource know to man 190000 death the disease the period time come
1.3047857272685486e+18,30575767.0,yellowvests right now protesting covid19 mandatory measures in paris rn wwg1wgaww  qanons  covidhoax2020,"#YellowVests right now protesting #Covid_19 mandatory measures in Paris RN
#WWG1WGAWW 
#QANONS 
#Covidhoax2020 https://t.co/XRDRyrb8Zy",yellowvests right protest covid19 mandatory measure paris rn wwg1wgaww qanons covidhoax2020
1.3047857278096138e+18,1.1273255927963976e+18,people have said it in funnier ways than i could but like if you photographed a normal business guy on the street hed look the same as the guy on the left except hopefully wearing a mask no one dresses like people do in fashion shows irl and i doubt they ever have,"@Q_Review People have said it in funnier ways than I could but like, if you photographed a normal business guy on the street he'd look the same as the guy on the left except (hopefully) wearing a mask, no one dresses like people do in fashion shows irl, and I doubt they ever have.",people say funnier way could like photograph normal business guy the street hed look the the guy the left except hopefully wear mask no one dress like people do fashion show irl doubt ever
1.3047857283128812e+18,9.734240433732896e+17,since you don’t understand the process it’s the responsibility of the governor’s of each state to fill the stadiums with people by releasing restrictions due to covid19,"@TheMikeHolmgren  since you don’t understand the process, it’s the responsibility of the Governor’s of each state to fill the stadiums with people by releasing restrictions due to Covid19.",since  understand the process  the responsibility the governor  state to fill the stadium people release restriction due to covid19
1.304785729675985e+18,339714153.0,this college football season is already so odd that it’s unclear whether this is week 1 or week 2 no matter what you call it this pandemicaltered season is certainly ramping up   but not without hiccups,"This college football season is already so odd that it’s unclear whether this is Week 1 or Week 2. No matter what you call it, this pandemic-altered season is certainly ramping up — but not without hiccups. https://t.co/KOcTd9ALFp",college football season already odd  unclear whether week 1 week 2 no matter call pandemicaltered season certainly ramp without hiccup
1.304785730523279e+18,8.946594902467953e+17,i cant wear a mask because i have breathing problems ok hongseok has massive boobs but he still wears a shirt,"""i can't wear a mask because i have breathing problems"" ok hongseok has massive boobs but he still wears a shirt",cant wear mask breathing problem ok hongseok massive boob still wear shirt
1.3047857304981583e+18,395596319.0,bairn went back to school wednesday  just been informed she was in contact on wednesday with a member of staff who’s since tested positive  14 day quarantine at home for us now,Bairn went back to school Wednesday.  Just been informed she was in contact on Wednesday with a member of staff who’s since tested positive.  14 day quarantine at home for us now.  😬,bairn go back to school wednesday inform contact wednesday member staff  since test positive 14 day quarantine at home u
1.304785730665943e+18,1.303329761629012e+18,they still owe me 2k that’s “in the mail” and has been for several weeks now great way to treat your customers during covid,@Cignaquestions @AlleighBrown They still owe me 2k that’s “in the mail” and has been for several weeks now. Great way to treat your customers during #covid,still owe 2k   the mail  several week great way to treat your customer covid
1.3047857309846446e+18,9.025795477276508e+17,save our nhs no to privatisation fair pay for health workers peoplebeforeprofit,Save our NHS. No to privatisation. Fair pay for health workers. #PeopleBeforeProfit,save nh no to privatisation fair pay health worker peoplebeforeprofit
1.304785731320197e+18,1226848202.0,‘totally blessed’ ronald mcdonald house keeps serving families despite pandemic,‘Totally blessed’: Ronald McDonald House keeps serving families despite pandemic https://t.co/AJ7N8VljL5,‘ totally bless  ronald mcdonald house keep serve family despite pandemic
1.3047857317437071e+18,108733822.0,white house south dakotas coronavirus case rise testing levels deeply concerning via,"White House: South Dakota's coronavirus case rise, testing levels 'deeply concerning' https://t.co/qQg7N9QF61 via @argusleader",white house south dakota coronavirus case rise test level deeply concern via
1.3047857327755756e+18,7.830270512384246e+17,its not that i disapprove of homeschooling its that i disapprove of elite snobs hiring tutors for their kids during a pandemic and then boast that theyre engaging in virtual learning  especially since these are the same people who were until covid bashing homeschoolers,"It's not that I disapprove of homeschooling.
It's that I disapprove of elite snobs hiring tutors for their kids during a pandemic and then boast that they're ""engaging in virtual learning."" 
Especially since these are the same people who were, until Covid, bashing homeschoolers.",disapprove homeschooling disapprove elite snob hire tutor kid pandemic boast theyre engage virtual learn especially since the people covid bashing homeschoolers
1.3047857343904197e+18,2226699688.0,is there another way to test for covid,Is there another way to test for covid?,another way to test covid
1.3047857346085317e+18,96557360.0,early goal for zaha southampton is sticking to social distancing crysou,Early goal for Zaha .....Southampton is sticking to Social Distancing #CRYSOU,early goal zaha southampton stick to social distance crysou
1.3047857345708564e+18,1053960554.0,per  texas state quarterback brady mcbride will miss today’s game versus utsa covid complications tyler vitt is expected to start,"Per @RodGilmore, Texas State quarterback Brady McBride will miss today’s game versus UTSA (COVID complications). Tyler Vitt is expected to start.",per texas state quarterback brady mcbride miss today  game versus utsa covid complication tyler vitt expect to start
1.3047857365462917e+18,1.0829492516326932e+18,to download or not to download to wear a mask or not to wear a mask to be injected or not to be injected  to obey or not to obey  that is the question,"@clmbie @Ed_MilIibantz @NicolaSturgeon To download or not to download.
To wear a mask or not to wear a mask.
To be injected or not to be injected.

To Obey or not to Obey?

THAT is the question...",to download to download to wear mask to wear mask to inject to inject to obey to obey the question
1.304785736936325e+18,400052552.0,kids’ soccer games are intensely political half the parents refusing to wear masks despite the rules and half the parents wearing masks   meanwhile all their kids have to wear masks while playing these kids will have amazing stamina by the end of the pandemic   thisis2020,"Kids’ soccer games are intensely political. Half the parents refusing to wear masks despite the rules and half the parents wearing masks. 

Meanwhile, all their kids have to wear masks while playing. These kids will have amazing stamina by the end of the pandemic. 

#thisis2020",kid  soccer game intensely political half the parent refuse to wear mask despite the rule half the parent wear mask meanwhile kid to wear mask play kid amaze stamen the end the pandemic thisis2020
1.304785736928047e+18,1.2952944433487951e+18,we think he is quite in touch what is the emergency  why be sleekit to use covid powers to side step consultation  and by their own admission they want to make permanent and consult only on improvements not withdrawl stop wasting tax payers money allreadyltn,@BeersBruceBikes @dhunter100 @agcolehamilton @ScotParl @Edinburgh_CC @lmacinnessnp @adamrmcvey @sto_paul We think he is quite in touch. What is the emergency ? Why be sleekit to use COVID powers to side step consultation ? And by their own admission they want to make permanent and consult only on improvements not withdrawl. Stop wasting tax payers money. #allreadyltn,think quite touch the emergency sleekit to use covid power to side step consultation admission want to make permanent consult improvement withdrawl stop waste tax payer money allreadyltn
1.3047857374353736e+18,403633335.0,pay attention  pelosi is trying to stick us with 2 trillion to bail out only democrat run states and some extra for her pork  republicans are trying to make the bill for only covid related items  so no fool its democrat who could careless about helping the people,@mauricecano @SpeakerPelosi Pay attention:  Pelosi is trying to stick us with 2 trillion to bail out only DemocRAT run states and some extra for her PORK.  RepubliCAN's are trying to make the bill for ONLY Covid related items.  So NO fool It's DemocRAT who could careless about helping the people. https://t.co/pxiosCvR1L,pay attention pelosi try to stick u 2 trillion to bail out democrat run state extra pork republican try to make the bill covid related item no fool democrat could careless help the people
1.304785738601562e+18,1.2933937071531377e+18,true  just this week they expose that in the 200 000 death only 6 really die from covid in a population of 335 millions of peoplethere are lying to us,"@texasborn68 @vicd2_2000 @charliekirk11 True , just this week they expose that in the 200 000 death only 6% really die from COVID in a population of 335 millions of people,there are lying to us",true week expose the 200 000 death 6 really die from covid population 335 million peoplethere lie to u
1.3047857391886664e+18,455687664.0,here’s how joe biden would combat the pandemic if he wins the election,Here’s how Joe Biden would combat the pandemic if he wins the election https://t.co/IZaJMllkgs, joe biden would combat the pandemic win the election
1.3047857405936804e+18,1.061881758570795e+18,closing next week had to move out for a few days in order for some quiet last ditch zooming the downside of working from home when kids have no school and girls are very chatty   hongkong,"Closing next week, had to move out for a few days in order for some quiet last ditch Zooming. The downside of working from home when kids have no school and girls are very chatty. 

#hongkong https://t.co/9KuB0Je2cA",closing next week to move out day order quiet last ditch zoom the downside work from home kid no school girl chatty hongkong
1.3047857410592973e+18,8.289751537365156e+17,due to the pandemic children are not going outside and pedophiles are unable to lure children netflix is giving something to quench the appetite of pedophiles  there is no other explanation for this cancelnetflix,"@ScottPresler @MaryMargOlohan Due to the pandemic, children are not going outside, and Pedophiles are unable to lure Children. Netflix is giving something to quench the appetite of pedophiles.

There is no other explanation for this.
#CancelNetflix",due to the pandemic child go outside pedophile unable to lure child netflix give something to quench the appetite pedophile no explanation cancelnetflix
1.3047857409293926e+18,1.2389588456212316e+18,iran’s covid19 fatalities hit 23000 ministry  iran front page,"Iran’s COVID-19 Fatalities Hit 23,000: Ministry | Iran Front Page https://t.co/3P3n0FFU1k",iran  covid19 fatality hit 23000 ministry iran front page
1.304785741617209e+18,791993624.0,why did i 100 know that dabo is a face shield guy   jfc,"Why did I 100% know that Dabo is a face shield guy? 

JFC",100 know dabo face shield guy jfc
1.304785741843542e+18,21051380.0,leaked emails show trump officials pressuring cdc to change reports to match presidents covid narrative via  traitor trumpvirus  scumbag,Leaked Emails Show Trump Officials Pressuring CDC to Change Reports to Match President's Covid Narrative https://t.co/5K5TQoznxm via @mediaite #Traitor #TrumpVirus @realDonaldTrump #scumbag,leak email show trump official pressure cdc to change report to match president covid narrative via traitor trumpvirus scumbag
1.304785742627922e+18,138365389.0,we used to have the same energy during kwentuhan every family celebrations but this time it was just so exhausting hay covid era,We used to have the same energy during kwentuhan every family celebrations but this time it was just so exhausting hay covid era 😭,use to the energy kwentuhan every family celebration time exhaust hay covid era
1.3047857424852828e+18,1.1681508922829578e+18,i do want to be clear though she obviously cherry picked images where people were not wearing masks to suggest that liberals are as careless as trump acolytes that’s dishonest jesus was honest she should be more like jesus,"@NBAYT2K @ThatMuricanLady @scfm69_2 @samanthamarika1 @meggie_cleary I do want to be clear, though. She obviously cherry picked images where people were not wearing masks to suggest that liberals are as careless as trump acolytes. That’s dishonest. Jesus was honest. She should be more like Jesus.",do want to clear though obviously cherry picked image people wear mask to suggest liberal careless trump acolyte  dishonest jesus honest like jesus
1.3047857422127347e+18,7.501593852304753e+17,in this time of pandemic paano ka magpanic for midterms,"In this time of pandemic, paano ka magpanic for midterms? https://t.co/QXODoAfCAh",time pandemic paano ka magpanic midterm
1.3047857426826158e+18,1.301065583845421e+18,were in the middle of a pandemic,@RepsForBiden we're in the middle of a pandemic,the middle pandemic
1.3047857427077325e+18,30450323.0,it’s not written someone i know told me that he’s currently working on a vaccine,@hug3m3 @MrGee54 It’s not written. Someone I know told me that. He’s currently working on a vaccine., write someone know told  currently work vaccine
